<X> <Y>
1.049593230558228e-02 1.894033637837873e+04
1.056875971184804e-02 1.881525059877308e+04
1.064209244064724e-02 1.868913715530459e+04
1.071593399822671e-02 1.856199821131811e+04
1.079028791516184e-02 1.843383628737311e+04
1.086515774652538e-02 1.830465427050651e+04
1.094054707205742e-02 1.817445542358103e+04
1.101645949633656e-02 1.804324339471395e+04
1.109289864895223e-02 1.791102222678121e+04
1.116986818467823e-02 1.777779636699156e+04
1.124737178364752e-02 1.764357067652448e+04
1.132541315152811e-02 1.750835044022619e+04
1.140399601970032e-02 1.737214137635651e+04
1.148312414543511e-02 1.723494964638023e+04
1.156280131207376e-02 1.709678186479502e+04
1.164303132920877e-02 1.695764510898842e+04
1.172381803286598e-02 1.681754692911548e+04
1.180516528568805e-02 1.667649535798839e+04
1.188707697711903e-02 1.653449892096898e+04
1.196955702359043e-02 1.639156664585449e+04
1.205260936870843e-02 1.624770807274639e+04
1.213623798344241e-02 1.610293326389168e+04
1.222044686631488e-02 1.595725281348579e+04
1.230524004359262e-02 1.581067785742523e+04
1.239062156947916e-02 1.566322008299782e+04
1.247659552630870e-02 1.551489173849812e+04
1.256316602474121e-02 1.536570564275445e+04
1.265033720395903e-02 1.521567519455406e+04
1.273811323186478e-02 1.506481438195175e+04
1.282649830528061e-02 1.491313779144737e+04
1.291549665014884e-02 1.476066061701631e+04
1.300511252173409e-02 1.460739866897710e+04
1.309535020482667e-02 1.445336838267923e+04
1.318621401394749e-02 1.429858682699386e+04
1.327770829355430e-02 1.414307171258958e+04
1.336983741824947e-02 1.398684139997432e+04
1.346260579298910e-02 1.382991490728442e+04
1.355601785329368e-02 1.367231191780085e+04
1.365007806546014e-02 1.351405278717204e+04
1.374479092677537e-02 1.335515855032217e+04
1.384016096573132e-02 1.319565092802312e+04
1.393619274224143e-02 1.303555233310746e+04
1.403289084785873e-02 1.287488587629958e+04
1.413025990599534e-02 1.271367537164090e+04
1.422830457214353e-02 1.255194534148507e+04
1.432702953409831e-02 1.238972102103779e+04
1.442643951218158e-02 1.222702836241588e+04
1.452653925946780e-02 1.206389403819905e+04
1.462733356201130e-02 1.190034544444755e+04
1.472882723907503e-02 1.173641070315837e+04
1.483102514336104e-02 1.157211866413165e+04
1.493393216124252e-02 1.140749890621886e+04
1.503755321299738e-02 1.124258173792348e+04
1.514189325304352e-02 1.107739819732453e+04
1.524695727017574e-02 1.091198005129283e+04
1.535275028780423e-02 1.074635979396921e+04
1.545927736419478e-02 1.058057064447370e+04
1.556654359271061e-02 1.041464654381425e+04
1.567455410205595e-02 1.024862215096297e+04
1.578331405652117e-02 1.008253283806813e+04
1.589282865622978e-02 9.916414684769059e+03
1.600310313738701e-02 9.750304471581454e+03
1.611414277253019e-02 9.584239672320642e+03
1.622595287078087e-02 9.418258445529169e+03
1.633853877809861e-02 9.252399624876440e+03
1.645190587753663e-02 9.086702708496963e+03
1.656605958949914e-02 8.921207847234500e+03
1.668100537200059e-02 8.755955831759338e+03
1.679674872092653e-02 8.590988078526254e+03
1.691329517029648e-02 8.426346614540713e+03
1.703065029252844e-02 8.262074060901961e+03
1.714881969870540e-02 8.098213615091217e+03
1.726780903884356e-02 7.934809031974582e+03
1.738762400216250e-02 7.771904603490541e+03
1.750827031735724e-02 7.609545136992783e+03
1.762975375287206e-02 7.447775932220303e+03
1.775208011717635e-02 7.286642756867132e+03
1.787525525904235e-02 7.126191820725971e+03
1.799928506782476e-02 6.966469748380722e+03
1.812417547374237e-02 6.807523550424615e+03
1.824993244816153e-02 6.649400593182148e+03
1.837656200388171e-02 6.492148566914725e+03
1.850407019542302e-02 6.335815452491742e+03
1.863246311931560e-02 6.180449486511079e+03
1.876174691439120e-02 6.026099124854811e+03
1.889192776207666e-02 5.872813004668703e+03
1.902301188668945e-02 5.720639904756291e+03
1.915500555573528e-02 5.569628704381084e+03
1.928791508020778e-02 5.419828340473633e+03
1.942174681489026e-02 5.271287763242809e+03
1.955650715865949e-02 5.124055890194393e+03
1.969220255479173e-02 4.978181558563151e+03
1.982883949127071e-02 4.833713476168475e+03
1.996642450109793e-02 4.690700170707586e+03
2.010496416260498e-02 4.549189937504064e+03
2.024446509976804e-02 4.409230785734210e+03
2.038493398252463e-02 4.270870383157823e+03
2.052637752709252e-02 4.134155999384949e+03
2.066880249629082e-02 3.999134447714945e+03
2.081221569986338e-02 3.865852025589400e+03
2.095662399480433e-02 3.734354453705813e+03
2.110203428568596e-02 3.604686813844281e+03
2.124845352498883e-02 3.476893485465476e+03
2.139588871343422e-02 3.351018081143915e+03
2.154434690031883e-02 3.227103380906783e+03
2.169383518385185e-02 3.105191265554851e+03
2.184436071149427e-02 2.985322649048578e+03
2.199593068030075e-02 2.867537410049044e+03
2.214855233726359e-02 2.751874322710456e+03
2.230223297965938e-02 2.638370986827656e+03
2.245697995539774e-02 2.527063757449478e+03
2.261280066337278e-02 2.417987674075801e+03
2.276970255381680e-02 2.311176389563748e+03
2.292769312865650e-02 2.206662098875721e+03
2.308677994187169e-02 2.104475467809626e+03
2.324697059985648e-02 2.004645561859166e+03
2.340827276178293e-02 1.907199775359682e+03
2.357069413996728e-02 1.812163761082558e+03
2.373424250023868e-02 1.719561360448867e+03
2.389892566231049e-02 1.629414534540410e+03
2.406475150015424e-02 1.541743296093614e+03
2.423172794237599e-02 1.456565642669302e+03
2.439986297259550e-02 1.373897491198118e+03
2.456916462982791e-02 1.293752614108709e+03
2.473964100886813e-02 1.216142577252174e+03
2.491130026067789e-02 1.141076679842829e+03
2.508415059277540e-02 1.068561896641506e+03
2.525820026962785e-02 9.986028226130777e+02
2.543345761304650e-02 9.312016202954596e+02
2.560993100258458e-02 8.663579701220096e+02
2.578762887593801e-02 8.040690239435202e+02
2.596655972934871e-02 7.443293619998474e+02
2.614673211801092e-02 6.871309535940794e+02
2.632815465648021e-02 6.324631217246841e+02
2.651083601908538e-02 5.803125119326013e+02
2.669478494034321e-02 5.306630656209934e+02
2.688001021537606e-02 4.834959981053752e+02
2.706652070033241e-02 4.387897816506271e+02
2.725432531281029e-02 3.965201337494615e+02
2.744343303228364e-02 3.566600108936819e+02
2.763385290053170e-02 3.191796080852964e+02
2.782559402207124e-02 2.840463643290693e+02
2.801866556459195e-02 2.512249743412378e+02
2.821307675939472e-02 2.206774067011017e+02
2.840883690183302e-02 1.923629286625935e+02
2.860595535175742e-02 1.662381378320176e+02
2.880444153396296e-02 1.422570009056753e+02
2.900430493863992e-02 1.203708996469614e+02
2.920555512182747e-02 1.005286842669757e+02
2.940820170587062e-02 8.267673435528167e+01
2.961225437988034e-02 6.675902748846039e+01
2.981772290019672e-02 5.271721562337508e+01
3.002461709085549e-02 4.049070935951335e+01
3.023294684405778e-02 3.001677013053520e+01
3.044272212064303e-02 2.123061035905696e+01
3.065395295056527e-02 1.406550158085260e+01
3.086664943337273e-02 8.452890515008056e+00
3.108082173869064e-02 4.322523025173922e+00
3.129648010670752e-02 1.602575883908510e+00
3.151363484866479e-02 2.197962173044023e-01
3.173229634734976e-02 9.964847062775072e-02
3.195247505759212e-02 1.166468697694013e+00
3.217418150676372e-02 3.343625937222150e+00
3.239742629528197e-02 6.553690398556545e+00
3.262222009711670e-02 1.071860813704585e+01
