# Formfaktor P(q) = I_fit/S(q) (ohne Untergrund)
# record_id: 4e638f03-a077-45cb-a135-e22e59d780c7
# erzeugt von: ScatterForge Plot 7.11.0 / analysis.gift 0.4.0
# Quelle: Sphere_140+Hardsphere.txt
# Dmax = 62.17 nm, N = 200, K = dirichlet, lambda_rel = 7.499e-13 (Wendepunkt)
# q-Bereich: 0.0505337 - 10 nm^-1 (full)
# Rg = 10.8444 +- 0.137 nm, I(0) = 5747.08 +- 22.2, MD = 0.002797
# GIFT: S(q) = hs_py_avg; phi = 0.200001 +- 0.00581, r_hs = 14 +- 0.0757, mu = 0.000477663 +- 1.1; MD ohne S(q) = 5.118
# Flags: dmax_qmin=warning, shannon=ok, q_range=ok, sigma_estimated=info, lambda=warning, fit_quality=info, pr_end=ok, pr_tail=info, pr_negative=ok, gift_bound=warning, gift_improvement=ok, gift_lambda=warning, gift_multistart=info, gift_apparent=info
# q / nm^-1	P(q)	sigma_P(q)
5.93470095e-01	3.25539951e+00	2.28851669e-02
5.99805056e-01	3.98946278e+00	2.38745950e-02
6.06207640e-01	4.70377514e+00	2.49180959e-02
6.12678567e-01	5.37127757e+00	2.59184443e-02
6.19218567e-01	5.96742983e+00	2.67798383e-02
6.25828379e-01	6.47090191e+00	2.74246163e-02
6.32508746e-01	6.86417910e+00	2.78055585e-02
6.39260423e-01	7.13405845e+00	2.79110673e-02
6.46084170e-01	7.27201658e+00	2.77621649e-02
6.52980757e-01	7.27443186e+00	2.74024025e-02
6.59950961e-01	7.14264800e+00	2.68841334e-02
6.66995568e-01	6.88287095e+00	2.62562069e-02
6.74115372e-01	6.50589630e+00	2.55576446e-02
6.81311176e-01	6.02667079e+00	2.48187765e-02
6.88583792e-01	5.46369772e+00	2.40670240e-02
6.95934038e-01	4.83830277e+00	2.33318730e-02
7.03362744e-01	4.17378326e+00	2.26446221e-02
7.10870748e-01	3.49446992e+00	2.20327059e-02
7.18458895e-01	2.82473566e+00	2.15128346e-02
7.26128041e-01	2.18799005e+00	2.10883516e-02
7.33879052e-01	1.60570114e+00	2.07528411e-02
7.41712800e-01	1.09648775e+00	2.04968889e-02
7.49630169e-01	6.75324560e-01	2.03127017e-02
7.57632051e-01	3.52899686e-01	2.01938787e-02
7.65719349e-01	1.35159865e-01	2.01321759e-02
7.73892974e-01	2.30712044e-02	2.01152031e-02
7.82153848e-01	1.26147338e-02	2.01270661e-02
7.90502903e-01	9.50253133e-02	2.01506670e-02
7.98941079e-01	2.57270541e-01	2.01695472e-02
8.07469327e-01	4.82753551e-01	2.01694309e-02
8.16088610e-01	7.52210719e-01	2.01417061e-02
8.24799899e-01	1.04476292e+00	2.00895368e-02
8.33604176e-01	1.33906803e+00	2.00327825e-02
8.42502434e-01	1.61451358e+00	2.00051216e-02
8.51495676e-01	1.85238244e+00	2.00402623e-02
8.60584916e-01	2.03692234e+00	2.01531526e-02
8.69771178e-01	2.15625157e+00	2.03288877e-02
8.79055498e-01	2.20303982e+00	2.05279124e-02
8.88438923e-01	2.17491359e+00	2.07033096e-02
8.97922511e-01	2.07455070e+00	2.08174687e-02
9.07507331e-01	1.90944699e+00	2.08492378e-02
9.17194464e-01	1.69135961e+00	2.07929904e-02
9.26985001e-01	1.43545374e+00	2.06569134e-02
9.36880047e-01	1.15920255e+00	2.04644390e-02
9.46880717e-01	8.81110287e-01	2.02547590e-02
9.56988139e-01	6.19346048e-01	2.00749850e-02
9.67203451e-01	3.90387081e-01	1.99626370e-02
9.77527807e-01	2.07775577e-01	1.99278206e-02
9.87962369e-01	8.10897223e-02	1.99483542e-02
9.98508314e-01	1.52183282e-02	1.99825443e-02
1.00916683e+00	1.00083104e-02	1.99915056e-02
1.01993912e+00	6.03269126e-02	1.99581159e-02
1.03082640e+00	1.56547245e-01	1.98941153e-02
1.04182990e+00	2.85429033e-01	1.98335767e-02
1.05295085e+00	4.31329445e-01	1.98159855e-02
1.06419051e+00	5.77644959e-01	1.98659301e-02
1.07555014e+00	7.08358041e-01	1.99784994e-02
1.08703104e+00	8.09545360e-01	2.01176547e-02
1.09863449e+00	8.70699991e-01	2.02291845e-02
1.11036180e+00	8.85730454e-01	2.02635389e-02
1.12221429e+00	8.53524777e-01	2.01992489e-02
1.13419330e+00	7.78006921e-01	2.00555867e-02
1.14630017e+00	6.67662940e-01	1.98859080e-02
1.15853629e+00	5.34570734e-01	1.97527451e-02
1.17090301e+00	3.93024262e-01	1.96978044e-02
1.18340175e+00	2.57894212e-01	1.97241634e-02
1.19603390e+00	1.42905456e-01	1.97994746e-02
1.20880089e+00	5.90314492e-02	1.98764111e-02
1.22170416e+00	1.32024879e-02	1.99191436e-02
1.23474517e+00	7.49676202e-03	1.99217036e-02
1.24792538e+00	3.89313277e-02	1.99060495e-02
1.26124629e+00	9.98991130e-02	1.98999776e-02
1.27470939e+00	1.79215396e-01	1.99121941e-02
1.28831620e+00	2.63653119e-01	1.99249725e-02
1.30206825e+00	3.39772585e-01	1.99083837e-02
1.31596710e+00	3.95799161e-01	1.98436879e-02
1.33001431e+00	4.23282349e-01	1.97410389e-02
1.34421147e+00	4.18287233e-01	1.96403624e-02
1.35856017e+00	3.81925877e-01	1.95902717e-02
1.37306204e+00	3.20126902e-01	1.96152792e-02
1.38771871e+00	2.42655033e-01	1.96974035e-02
1.40253183e+00	1.61512781e-01	1.97902009e-02
1.41750307e+00	8.89643018e-02	1.98532615e-02
1.43263413e+00	3.54972210e-02	1.98770926e-02
1.44792669e+00	8.06568148e-03	1.98796448e-02
1.46338250e+00	8.92731817e-03	1.98812414e-02
1.47900329e+00	3.52981455e-02	1.98817257e-02
1.49479082e+00	7.99130267e-02	1.98604542e-02
1.51074688e+00	1.32416435e-01	1.98001574e-02
1.52687325e+00	1.81347266e-01	1.97136669e-02
1.54317177e+00	2.16354249e-01	1.96448343e-02
1.55964427e+00	2.30213807e-01	1.96356233e-02
1.57629259e+00	2.20239395e-01	1.96887117e-02
1.59311864e+00	1.88774825e-01	1.97648701e-02
1.61012428e+00	1.42640344e-01	1.98183428e-02
1.62731146e+00	9.16180029e-02	1.98345664e-02
1.64468210e+00	4.62778678e-02	1.98344219e-02
1.66223816e+00	1.56098809e-02	1.98431635e-02
1.67998162e+00	4.99482102e-03	1.98585012e-02
1.69791448e+00	1.49964794e-02	1.98539034e-02
1.71603877e+00	4.12865758e-02	1.98144730e-02
1.73435652e+00	7.57545387e-02	1.97631275e-02
1.75286981e+00	1.08562634e-01	1.97403805e-02
1.77158071e+00	1.30654737e-01	1.97581583e-02
1.79049134e+00	1.36084121e-01	1.97869838e-02
1.80960384e+00	1.23540824e-01	1.97927093e-02
1.82892034e+00	9.66434658e-02	1.97768298e-02
1.84844305e+00	6.28788949e-02	1.97727277e-02
1.86817414e+00	3.14478524e-02	1.97998500e-02
1.88811585e+00	1.06026240e-02	1.98346406e-02
1.90827043e+00	5.24160558e-03	1.98422146e-02
1.92864015e+00	1.54875450e-02	1.98236576e-02
1.94922730e+00	3.67120161e-02	1.98092174e-02
1.97003421e+00	6.10401958e-02	1.98090301e-02
1.99106323e+00	7.98995156e-02	1.97969005e-02
2.01231671e+00	8.68137790e-02	1.97557197e-02
2.03379707e+00	7.95225776e-02	1.97168620e-02
2.05550671e+00	6.06887661e-02	1.97256414e-02
2.07744809e+00	3.69092839e-02	1.97766324e-02
2.09962369e+00	1.63307818e-02	1.98197025e-02
2.12203600e+00	5.69048089e-03	1.98294226e-02
2.14468754e+00	7.85529612e-03	1.98262549e-02
2.16758088e+00	2.07977088e-02	1.98225301e-02
2.19071859e+00	3.84410360e-02	1.97954110e-02
2.21410329e+00	5.30947559e-02	1.97402730e-02
2.23773760e+00	5.85502216e-02	1.97060750e-02
2.26162420e+00	5.25917385e-02	1.97313981e-02
2.28576577e+00	3.78611912e-02	1.97831126e-02
2.31016504e+00	2.06639445e-02	1.98097364e-02
2.33482476e+00	8.17866131e-03	1.98149541e-02
2.35974770e+00	5.26412999e-03	1.98221394e-02
2.38493669e+00	1.22960157e-02	1.98138100e-02
2.41039455e+00	2.50591096e-02	1.97744102e-02
2.43612417e+00	3.68001326e-02	1.97449504e-02
2.46212843e+00	4.15111392e-02	1.97591803e-02
2.48841027e+00	3.68648602e-02	1.97827048e-02
2.51497266e+00	2.53231947e-02	1.97850615e-02
2.54181858e+00	1.28052350e-02	1.97929522e-02
2.56895107e+00	5.54680799e-03	1.98149272e-02
2.59637319e+00	6.77663763e-03	1.98129215e-02
2.62408802e+00	1.50094575e-02	1.97886314e-02
2.65209869e+00	2.49426580e-02	1.97805090e-02
2.68040836e+00	3.05145890e-02	1.97774328e-02
2.70902021e+00	2.84135360e-02	1.97603476e-02
2.73793749e+00	1.99824942e-02	1.97651979e-02
2.76716344e+00	1.03362100e-02	1.97982964e-02
2.79670136e+00	5.16399834e-03	1.98109159e-02
2.82655458e+00	7.16198597e-03	1.98045457e-02
2.85672647e+00	1.43622572e-02	1.98007265e-02
2.88722042e+00	2.14914600e-02	1.97721216e-02
2.91803988e+00	2.35278687e-02	1.97396058e-02
2.94918833e+00	1.90984276e-02	1.97615838e-02
2.98066926e+00	1.13643824e-02	1.97990325e-02
3.01248623e+00	5.71357523e-03	1.98046339e-02
3.04464284e+00	5.84662350e-03	1.98057330e-02
3.07714270e+00	1.10919496e-02	1.97911625e-02
3.10998947e+00	1.69856964e-02	1.97591167e-02
3.14318687e+00	1.87456963e-02	1.97656836e-02
3.17673863e+00	1.49986942e-02	1.97860540e-02
3.21064853e+00	8.80751576e-03	1.97885553e-02
3.24492041e+00	5.10916255e-03	1.98041226e-02
3.27955812e+00	6.60372876e-03	1.97996929e-02
3.31456556e+00	1.15231390e-02	1.97757786e-02
3.34994670e+00	1.52336537e-02	1.97794598e-02
3.38570550e+00	1.43468056e-02	1.97752433e-02
3.42184601e+00	9.71923955e-03	1.97772112e-02
3.45837230e+00	5.58941708e-03	1.98005320e-02
3.49528849e+00	5.57750987e-03	1.97991301e-02
3.53259874e+00	9.27289650e-03	1.97918887e-02
3.57030725e+00	1.27115077e-02	1.97693373e-02
3.60841828e+00	1.23453210e-02	1.97593562e-02
3.64693613e+00	8.58905068e-03	1.97912082e-02
3.68586513e+00	5.31332941e-03	1.97979638e-02
3.72520968e+00	5.74107306e-03	1.97977133e-02
3.76497420e+00	9.04077853e-03	1.97798274e-02
3.80516319e+00	1.13133457e-02	1.97676600e-02
3.84578118e+00	9.95676841e-03	1.97835865e-02
3.88683274e+00	6.55992165e-03	1.97885887e-02
3.92832251e+00	4.98962114e-03	1.97987420e-02
3.97025515e+00	6.82870782e-03	1.97861244e-02
4.01263540e+00	9.54715777e-03	1.97880386e-02
4.05546804e+00	9.66074595e-03	1.97618305e-02
4.09875789e+00	7.05109312e-03	1.97889796e-02
4.14250983e+00	5.03395628e-03	1.97963272e-02
4.18672880e+00	6.03177305e-03	1.97922327e-02
4.23141979e+00	8.43676828e-03	1.97747783e-02
4.27658783e+00	8.84562665e-03	1.97768646e-02
4.32223801e+00	6.70744824e-03	1.97850846e-02
4.36837548e+00	5.00983772e-03	1.97955782e-02
4.41500544e+00	5.99696092e-03	1.97896029e-02
4.46213315e+00	7.98352763e-03	1.97774881e-02
4.50976393e+00	7.90932861e-03	1.97762666e-02
4.55790313e+00	5.90675833e-03	1.97886705e-02
4.60655619e+00	5.01422244e-03	1.97945014e-02
4.65572860e+00	6.43392289e-03	1.97850724e-02
4.70542590e+00	7.70555494e-03	1.97756627e-02
4.75565369e+00	6.72075739e-03	1.97816461e-02
4.80641763e+00	5.12340138e-03	1.97927141e-02
4.85772344e+00	5.49366864e-03	1.97901636e-02
4.90957692e+00	6.99825561e-03	1.97786601e-02
4.96198391e+00	6.91317944e-03	1.97784497e-02
5.01495031e+00	5.40430078e-03	1.97896430e-02
5.06848209e+00	5.14490330e-03	1.97917855e-02
5.12258530e+00	6.44060822e-03	1.97811694e-02
5.17726603e+00	6.74739242e-03	1.97779012e-02
5.23253045e+00	5.48478149e-03	1.97879970e-02
5.28838478e+00	5.06610200e-03	1.97916528e-02
5.34483533e+00	6.16786948e-03	1.97818578e-02
5.40188845e+00	6.46942610e-03	1.97784843e-02
5.45955059e+00	5.35798501e-03	1.97882002e-02
5.51782823e+00	5.10313265e-03	1.97906482e-02
5.57672796e+00	6.10493020e-03	1.97809003e-02
5.63625641e+00	6.12935819e-03	1.97800238e-02
5.69642029e+00	5.13033468e-03	1.97896644e-02
