# Strukturfaktor S(q) (hs_py_avg)
# record_id: 4e638f03-a077-45cb-a135-e22e59d780c7
# erzeugt von: ScatterForge Plot 7.11.0 / analysis.gift 0.4.0
# Quelle: Sphere_140+Hardsphere.txt
# Dmax = 62.17 nm, N = 200, K = dirichlet, lambda_rel = 7.499e-13 (Wendepunkt)
# q-Bereich: 0.0505337 - 10 nm^-1 (full)
# Rg = 10.8444 +- 0.137 nm, I(0) = 5747.08 +- 22.2, MD = 0.002797
# GIFT: S(q) = hs_py_avg; phi = 0.200001 +- 0.00581, r_hs = 14 +- 0.0757, mu = 0.000477663 +- 1.1; MD ohne S(q) = 5.118
# Flags: dmax_qmin=warning, shannon=ok, q_range=ok, sigma_estimated=info, lambda=warning, fit_quality=info, pr_end=ok, pr_tail=info, pr_negative=ok, gift_bound=warning, gift_improvement=ok, gift_lambda=warning, gift_multistart=info, gift_apparent=info
# q / nm^-1	S(q)
6.74115372e-01	1.02347701e+00
6.81311176e-01	1.02243529e+00
6.88583792e-01	1.02049058e+00
6.95934038e-01	1.01774218e+00
7.03362744e-01	1.01432569e+00
7.10870748e-01	1.01040614e+00
7.18458895e-01	1.00616964e+00
7.26128041e-01	1.00181417e+00
7.33879052e-01	9.97540099e-01
7.41712800e-01	9.93541075e-01
7.49630169e-01	9.89995607e-01
7.57632051e-01	9.87059645e-01
7.65719349e-01	9.84860256e-01
7.73892974e-01	9.83490403e-01
7.82153848e-01	9.83004840e-01
7.90502903e-01	9.83417082e-01
7.98941079e-01	9.84697556e-01
8.07469327e-01	9.86773078e-01
8.16088610e-01	9.89527957e-01
8.24799899e-01	9.92807104e-01
8.33604176e-01	9.96421571e-01
8.42502434e-01	1.00015685e+00
8.51495676e-01	1.00378406e+00
8.60584916e-01	1.00707388e+00
8.69771178e-01	1.00981235e+00
8.79055498e-01	1.01181760e+00
8.88438923e-01	1.01295557e+00
8.97922511e-01	1.01315299e+00
9.07507331e-01	1.01240581e+00
9.17194464e-01	1.01078158e+00
9.26985001e-01	1.00841543e+00
9.36880047e-01	1.00549963e+00
9.46880717e-01	1.00226819e+00
9.56988139e-01	9.98977849e-01
9.67203451e-01	9.95887633e-01
9.77527807e-01	9.93238657e-01
9.87962369e-01	9.91235673e-01
9.98508314e-01	9.90031421e-01
1.00916683e+00	9.89714498e-01
1.01993912e+00	9.90301284e-01
1.03082640e+00	9.91732423e-01
1.04182990e+00	9.93874509e-01
1.05295085e+00	9.96527655e-01
1.06419051e+00	9.99439558e-01
1.07555014e+00	1.00232619e+00
1.08703104e+00	1.00489838e+00
1.09863449e+00	1.00689220e+00
1.11036180e+00	1.00809990e+00
1.12221429e+00	1.00839675e+00
1.13419330e+00	1.00775951e+00
1.14630017e+00	1.00627247e+00
1.15853629e+00	1.00411957e+00
1.17090301e+00	1.00156322e+00
1.18340175e+00	9.98912746e-01
1.19603390e+00	9.96487121e-01
1.20880089e+00	9.94576679e-01
1.22170416e+00	9.93408397e-01
1.23474517e+00	9.93118138e-01
1.24792538e+00	9.93732526e-01
1.26124629e+00	9.95162411e-01
1.27470939e+00	9.97209561e-01
1.28831620e+00	9.99587580e-01
1.30206825e+00	1.00195686e+00
1.31596710e+00	1.00397113e+00
1.33001431e+00	1.00533011e+00
1.34421147e+00	1.00582980e+00
1.35856017e+00	1.00540036e+00
1.37306204e+00	1.00412256e+00
1.38771871e+00	1.00221773e+00
1.40253183e+00	1.00001205e+00
1.41750307e+00	9.97881706e-01
1.43263413e+00	9.96188975e-01
1.44792669e+00	9.95220386e-01
1.46338250e+00	9.95136783e-01
1.47900329e+00	9.95942848e-01
1.49479082e+00	9.97481419e-01
1.51074688e+00	9.99455615e-01
1.52687325e+00	1.00147860e+00
1.54317177e+00	1.00314583e+00
1.55964427e+00	1.00411812e+00
1.57629259e+00	1.00419782e+00
1.59311864e+00	1.00337823e+00
1.61012428e+00	1.00185091e+00
1.62731146e+00	9.99966060e-01
1.64468210e+00	9.98154491e-01
1.66223816e+00	9.96829721e-01
1.67998162e+00	9.96292793e-01
1.69791448e+00	9.96660735e-01
1.71603877e+00	9.97834368e-01
1.73435652e+00	9.99514717e-01
1.75286981e+00	1.00126924e+00
1.77158071e+00	1.00263808e+00
1.79049134e+00	1.00325729e+00
1.80960384e+00	1.00296488e+00
1.82892034e+00	1.00185450e+00
1.84844305e+00	1.00025474e+00
1.86817414e+00	9.98636701e-01
1.88811585e+00	9.97476718e-01
1.90827043e+00	9.97115121e-01
1.92864015e+00	9.97651803e-01
1.94922730e+00	9.98909390e-01
1.97003421e+00	1.00047902e+00
1.99106323e+00	1.00184327e+00
2.01231671e+00	1.00254551e+00
2.03379707e+00	1.00235151e+00
2.05550671e+00	1.00134101e+00
2.07744809e+00	9.99887080e-01
2.09962369e+00	9.98524601e-01
2.12203600e+00	9.97754998e-01
2.14468754e+00	9.97858972e-01
2.16758088e+00	9.98785721e-01
2.19071859e+00	1.00016256e+00
2.21410329e+00	1.00143109e+00
2.23773760e+00	1.00206950e+00
2.26162420e+00	1.00181596e+00
2.28576577e+00	1.00079162e+00
2.31016504e+00	9.99456613e-01
2.33482476e+00	9.98410018e-01
2.35974770e+00	9.98121266e-01
2.38493669e+00	9.98713184e-01
2.41039455e+00	9.99895935e-01
2.43612417e+00	1.00109177e+00
2.46212843e+00	1.00170898e+00
2.48841027e+00	1.00144248e+00
2.51497266e+00	1.00044219e+00
2.54181858e+00	9.99244775e-01
2.56895107e+00	9.98492766e-01
2.59637319e+00	9.98588186e-01
2.62408802e+00	9.99466600e-01
2.65209869e+00	1.00062024e+00
2.68040836e+00	1.00137607e+00
2.70902021e+00	1.00129030e+00
2.73793749e+00	1.00042690e+00
2.76716344e+00	9.99330691e-01
2.79670136e+00	9.98693173e-01
2.82655458e+00	9.98914474e-01
2.85672647e+00	9.99838334e-01
2.88722042e+00	1.00083999e+00
2.91803988e+00	1.00123553e+00
2.94918833e+00	1.00075796e+00
2.98066926e+00	9.99759835e-01
3.01248623e+00	9.98970522e-01
3.04464284e+00	9.98966634e-01
3.07714270e+00	9.99739276e-01
3.10998947e+00	1.00068623e+00
3.14318687e+00	1.00106392e+00
3.17673863e+00	1.00057887e+00
3.21064853e+00	9.99640103e-01
3.24492041e+00	9.99033174e-01
3.27955812e+00	9.99264450e-01
3.31456556e+00	1.00012206e+00
3.34994670e+00	1.00084314e+00
3.38570550e+00	1.00078230e+00
3.42184601e+00	1.00000795e+00
3.45837230e+00	9.99254224e-01
3.49528849e+00	9.99235530e-01
3.53259874e+00	9.99957762e-01
3.57030725e+00	1.00069678e+00
3.60841828e+00	1.00070770e+00
3.64693613e+00	9.99991642e-01
3.68586513e+00	9.99310581e-01
3.72520968e+00	9.99388563e-01
3.76497420e+00	1.00012791e+00
3.80516319e+00	1.00069946e+00
3.84578118e+00	1.00046058e+00
3.88683274e+00	9.99700878e-01
3.92832251e+00	9.99319638e-01
3.97025515e+00	9.99764052e-01
4.01263540e+00	1.00047950e+00
4.05546804e+00	1.00057440e+00
4.09875789e+00	9.99940439e-01
4.14250983e+00	9.99406986e-01
4.18672880e+00	9.99669775e-01
4.23141979e+00	1.00036347e+00
4.27658783e+00	1.00053735e+00
4.32223801e+00	9.99960835e-01
4.36837548e+00	9.99461643e-01
4.41500544e+00	9.99753606e-01
4.46213315e+00	1.00039463e+00
4.50976393e+00	1.00042403e+00
4.55790313e+00	9.99810039e-01
4.60655619e+00	9.99512824e-01
4.65572860e+00	9.99991409e-01
4.70542590e+00	1.00046531e+00
4.75565369e+00	1.00016400e+00
4.80641763e+00	9.99603431e-01
4.85772344e+00	9.99732518e-01
4.90957692e+00	1.00031469e+00
4.96198391e+00	1.00032516e+00
5.01495031e+00	9.99758733e-01
5.06848209e+00	9.99650373e-01
5.12258530e+00	1.00018764e+00
5.17726603e+00	1.00035297e+00
5.23253045e+00	9.99841796e-01
5.28838478e+00	9.99657073e-01
5.34483533e+00	1.00015251e+00
5.40188845e+00	1.00032316e+00
5.45955059e+00	9.99831578e-01
5.51782823e+00	9.99707911e-01
5.57672796e+00	1.00020096e+00
5.63625641e+00	1.00024526e+00
5.69642029e+00	9.99757529e-01
5.75722638e+00	9.99823563e-01
5.81868155e+00	1.00028023e+00
5.88079272e+00	1.00008171e+00
5.94356689e+00	9.99704187e-01
6.00701114e+00	1.00003467e+00
6.07113262e+00	1.00026789e+00
6.13593856e+00	9.99845444e-01
6.20143627e+00	9.99820278e-01
6.26763313e+00	1.00024190e+00
6.33453660e+00	1.00003496e+00
6.40215424e+00	9.99748743e-01
6.47049365e+00	1.00012677e+00
6.53956254e+00	1.00015350e+00
6.60936871e+00	9.99770289e-01
6.67992002e+00	1.00002616e+00
6.75122443e+00	1.00019753e+00
6.82328997e+00	9.99812511e-01
6.89612477e+00	9.99974102e-01
6.96973704e+00	1.00020090e+00
7.04413508e+00	9.99836599e-01
7.11932728e+00	9.99968852e-01
7.19532211e+00	1.00018590e+00
7.27212815e+00	9.99834906e-01
7.34975404e+00	1.00000340e+00
7.42820855e+00	1.00015182e+00
7.50750052e+00	9.99821372e-01
7.58763889e+00	1.00007000e+00
7.66863268e+00	1.00008196e+00
7.75049104e+00	9.99830878e-01
7.83322319e+00	1.00014245e+00
7.91683847e+00	9.99968769e-01
8.00134628e+00	9.99909438e-01
8.08675618e+00	1.00015565e+00
8.17307777e+00	9.99861922e-01
8.26032080e+00	1.00005697e+00
8.34849510e+00	1.00004316e+00
8.43761061e+00	9.99881551e-01
8.52767738e+00	1.00014377e+00
8.61870556e+00	9.99882284e-01
8.71070542e+00	1.00005683e+00
8.80368732e+00	1.00001517e+00
8.89766175e+00	9.99922979e-01
8.99263931e+00	1.00011545e+00
9.08863070e+00	9.99873560e-01
9.18564674e+00	1.00011335e+00
9.28369838e+00	9.99916426e-01
9.38279666e+00	1.00004556e+00
9.48295276e+00	9.99993364e-01
9.58417797e+00	9.99971869e-01
9.68648371e+00	1.00005595e+00
9.78988150e+00	9.99923937e-01
9.89438300e+00	1.00008903e+00
1.00000000e+01	9.99903834e-01
