# IFT-Fit I(q) im Fitbereich
# record_id: 4e638f03-a077-45cb-a135-e22e59d780c7
# erzeugt von: ScatterForge Plot 7.11.0 / analysis.gift 0.4.0
# Quelle: Sphere_140+Hardsphere.txt
# Dmax = 62.17 nm, N = 200, K = dirichlet, lambda_rel = 7.499e-13 (Wendepunkt)
# q-Bereich: 0.0505337 - 10 nm^-1 (full)
# Rg = 10.8444 +- 0.137 nm, I(0) = 5747.08 +- 22.2, MD = 0.002797
# GIFT: S(q) = hs_py_avg; phi = 0.200001 +- 0.00581, r_hs = 14 +- 0.0757, mu = 0.000477663 +- 1.1; MD ohne S(q) = 5.118
# Flags: dmax_qmin=warning, shannon=ok, q_range=ok, sigma_estimated=info, lambda=warning, fit_quality=info, pr_end=ok, pr_tail=info, pr_negative=ok, gift_bound=warning, gift_improvement=ok, gift_lambda=warning, gift_multistart=info, gift_apparent=info
# q / nm^-1	I_fit	sigma_I_fit
6.95934038e-01	4.92016448e+00	1.47116344e-02
7.03362744e-01	4.22959524e+00	1.27793175e-02
7.10870748e-01	3.52685350e+00	1.07597110e-02
7.18458895e-01	2.83818292e+00	8.74188613e-03
7.26128041e-01	2.18797909e+00	6.80932094e-03
7.33879052e-01	1.59777093e+00	5.03260709e-03
7.41712800e-01	1.08542527e+00	3.46842403e-03
7.49630169e-01	6.64588001e-01	2.16326692e-03
7.57632051e-01	3.44352693e-01	1.15783162e-03
7.65719349e-01	1.29133233e-01	4.88804520e-04
7.73892974e-01	1.87099622e-02	1.74102691e-04
7.82153848e-01	8.41999842e-03	8.27809737e-05
7.90502903e-01	8.94691704e-02	3.76572647e-04
7.98941079e-01	2.49353327e-01	9.48189580e-04
8.07469327e-01	4.72387862e-01	1.69759800e-03
8.16088610e-01	7.40353190e-01	2.55350810e-03
8.24799899e-01	1.03326770e+00	3.45829478e-03
8.33604176e-01	1.33029592e+00	4.37199005e-03
8.42502434e-01	1.61078646e+00	5.26234853e-03
8.51495676e-01	1.85541163e+00	6.08732259e-03
8.60584916e-01	2.04735093e+00	6.78473048e-03
8.69771178e-01	2.17342912e+00	7.27978689e-03
8.79055498e-01	2.22509412e+00	7.50770517e-03
8.88438923e-01	2.19911049e+00	7.43808441e-03
8.97922511e-01	2.09785691e+00	7.08697648e-03
9.07507331e-01	1.92915488e+00	6.50948557e-03
9.17194464e-01	1.70561479e+00	5.77647734e-03
9.26985001e-01	1.44355335e+00	4.94920033e-03
9.36880047e-01	1.16159739e+00	4.06844989e-03
9.46880717e-01	8.79128468e-01	3.16434224e-03
9.56988139e-01	6.14732636e-01	2.27535448e-03
9.67203451e-01	3.84801320e-01	1.45862856e-03
9.77527807e-01	2.02390389e-01	7.83685056e-04
9.87962369e-01	7.63986796e-02	3.16675996e-04
9.98508314e-01	1.10862772e-02	1.04590553e-04
1.00916683e+00	5.92502396e-03	5.81311265e-05
1.01993912e+00	5.57614731e-02	2.55711579e-04
1.03082640e+00	1.51272633e-01	6.37668747e-04
1.04182990e+00	2.79700294e-01	1.12096968e-03
1.05295085e+00	4.25851375e-01	1.64549552e-03
1.06419051e+00	5.73340876e-01	2.16061210e-03
1.07555014e+00	7.06025472e-01	2.62574949e-03
1.08703104e+00	8.09530475e-01	3.00461915e-03
1.09863449e+00	8.72720688e-01	3.25885430e-03
1.11036180e+00	8.88924432e-01	3.35082206e-03
1.12221429e+00	8.56711265e-01	3.25799408e-03
1.13419330e+00	7.80063526e-01	2.98817781e-03
1.14630017e+00	6.67870487e-01	2.58065744e-03
1.15853629e+00	5.32792589e-01	2.08960494e-03
1.17090301e+00	3.89658298e-01	1.56449020e-03
1.18340175e+00	2.53633469e-01	1.04744503e-03
1.19603390e+00	1.38423101e-01	5.87170579e-04
1.20880089e+00	5.47309568e-02	2.46743575e-04
1.22170416e+00	9.13511642e-03	8.49411145e-05
1.23474517e+00	3.46482443e-03	3.42405192e-05
1.24792538e+00	3.47069807e-02	1.86600362e-04
1.26124629e+00	9.54354962e-02	4.51806814e-04
1.27470939e+00	1.74734961e-01	7.59305387e-04
1.28831620e+00	2.59564037e-01	1.07874010e-03
1.30206825e+00	3.36457126e-01	1.38583135e-03
1.31596710e+00	3.93390585e-01	1.63493083e-03
1.33001431e+00	4.21558144e-01	1.76759111e-03
1.34421147e+00	4.16745418e-01	1.74906223e-03
1.35856017e+00	3.80008070e-01	1.59049700e-03
1.37306204e+00	3.17466300e-01	1.33672036e-03
1.38771871e+00	2.39212830e-01	1.03525165e-03
1.40253183e+00	1.57534381e-01	7.18627084e-04
1.41750307e+00	8.47955033e-02	4.14695135e-04
1.43263413e+00	3.13815943e-02	1.65581198e-04
1.44792669e+00	4.04678472e-03	3.94728070e-05
1.46338250e+00	4.90355678e-03	4.72248343e-05
1.47900329e+00	3.11745897e-02	1.60101164e-04
1.49479082e+00	7.57314133e-02	3.74670037e-04
1.51074688e+00	1.28364004e-01	6.06071799e-04
1.52687325e+00	1.77635061e-01	8.04454093e-04
1.54317177e+00	2.13054517e-01	9.50675650e-04
1.55964427e+00	2.27181510e-01	1.02624080e-03
1.57629259e+00	2.17183575e-01	1.00261926e-03
1.59311864e+00	1.85432205e-01	8.68655837e-04
1.61012428e+00	1.38924013e-01	6.52464875e-04
1.62731146e+00	8.76345474e-02	4.14306450e-04
1.64468210e+00	4.22121156e-02	2.19331999e-04
1.66223816e+00	1.15800473e-02	9.31537146e-05
1.67998162e+00	9.95958272e-04	9.96838773e-06
1.69791448e+00	1.09660562e-02	8.87528205e-05
1.71603877e+00	3.72168184e-02	1.95119469e-04
1.73435652e+00	7.17374304e-02	3.52924711e-04
1.75286981e+00	1.04720081e-01	5.23232343e-04
1.77158071e+00	1.27019069e-01	6.28518045e-04
1.79049134e+00	1.32547040e-01	6.43016415e-04
1.80960384e+00	1.19926762e-01	5.90865875e-04
1.82892034e+00	9.28423453e-02	4.78865262e-04
1.84844305e+00	5.89145669e-02	3.11248714e-04
1.86817414e+00	2.74246336e-02	1.47571394e-04
1.88811585e+00	6.59552473e-03	5.92629540e-05
1.90827043e+00	1.24613827e-03	1.24281244e-05
1.92864015e+00	1.14708313e-02	8.60461113e-05
1.94922730e+00	3.26916317e-02	1.83966392e-04
1.97003421e+00	5.70890895e-02	2.95923857e-04
1.99106323e+00	7.60664462e-02	4.00002786e-04
2.01231671e+00	8.30544188e-02	4.43894754e-04
2.03379707e+00	7.57292301e-02	4.01176622e-04
2.05550671e+00	5.67898047e-02	3.00596729e-04
2.07744809e+00	3.29247702e-02	1.91387765e-04
2.09962369e+00	1.23263415e-02	8.80632446e-05
2.12203600e+00	1.69735984e-03	1.68095115e-05
2.14468754e+00	3.85813179e-03	3.65433934e-05
2.16758088e+00	1.67921087e-02	1.01373371e-04
2.19071859e+00	3.44669390e-02	2.04107226e-04
2.21410329e+00	4.91903934e-02	2.76015166e-04
2.23773760e+00	5.46910455e-02	3.00881429e-04
2.26162420e+00	4.87068970e-02	2.77004200e-04
2.28576577e+00	3.39108168e-02	2.03512836e-04
2.31016504e+00	1.66723700e-02	1.02103922e-04
2.33482476e+00	4.18531147e-03	3.90532099e-05
2.35974770e+00	1.27389418e-03	1.26660582e-05
2.38493669e+00	8.29984712e-03	6.60822187e-05
2.41039455e+00	2.10761559e-02	1.27991816e-04
2.43612417e+00	3.28599638e-02	1.94885628e-04
2.46212843e+00	3.76017352e-02	2.27893658e-04
2.48841027e+00	3.29376911e-02	1.95737995e-04
2.51497266e+00	2.13540465e-02	1.33296464e-04
2.54181858e+00	8.81521828e-03	6.82575796e-05
2.56895107e+00	1.55810174e-03	1.54111639e-05
2.59637319e+00	2.78672437e-03	2.68432451e-05
2.62408802e+00	1.10211055e-02	7.72619164e-05
2.65209869e+00	2.09777826e-02	1.35672040e-04
2.68040836e+00	2.65762333e-02	1.64958817e-04
2.70902021e+00	2.44698521e-02	1.59196658e-04
2.73793749e+00	1.60106789e-02	1.03163771e-04
2.76716344e+00	6.34894596e-03	5.42226123e-05
2.79670136e+00	1.17690397e-03	1.17013919e-05
2.82655458e+00	3.17386554e-03	3.00917699e-05
2.85672647e+00	1.03795894e-02	7.32951606e-05
2.88722042e+00	1.75291668e-02	1.18238170e-04
2.91803988e+00	1.95765922e-02	1.29834974e-04
2.94918833e+00	1.51325574e-02	1.02036917e-04
2.98066926e+00	7.38130717e-03	5.96845375e-05
3.01248623e+00	1.72734731e-03	1.70146870e-05
3.04464284e+00	1.86023589e-03	1.82744668e-05
3.07714270e+00	7.10871172e-03	5.77609060e-05
3.10998947e+00	1.30170065e-02	8.96328379e-05
3.14318687e+00	1.47852943e-02	1.05809764e-04
3.17673863e+00	1.10270306e-02	7.84455985e-05
3.21064853e+00	4.82400005e-03	4.36825208e-05
3.24492041e+00	1.12387697e-03	1.11840818e-05
3.27955812e+00	2.61852548e-03	2.52596053e-05
3.31456556e+00	7.54419960e-03	5.95107400e-05
3.34994670e+00	1.12661519e-02	8.28330091e-05
3.38570550e+00	1.03776832e-02	7.62151011e-05
3.42184601e+00	5.73897091e-03	4.98987973e-05
3.45837230e+00	1.60490272e-03	1.58695008e-05
3.49528849e+00	1.59290012e-03	1.57647701e-05
3.53259874e+00	5.29215892e-03	4.75059679e-05
3.57030725e+00	8.74001892e-03	6.67950604e-05
3.60841828e+00	8.37371183e-03	6.61876299e-05
3.64693613e+00	4.60863298e-03	4.30078850e-05
3.68586513e+00	1.32932039e-03	1.32308962e-05
3.72520968e+00	1.75721684e-03	1.73946698e-05
3.76497420e+00	5.06158900e-03	4.57980630e-05
3.80516319e+00	7.34091303e-03	5.83661184e-05
3.84578118e+00	5.98100837e-03	5.25494207e-05
3.88683274e+00	2.57761352e-03	2.52986641e-05
3.92832251e+00	1.00588048e-03	1.00506982e-05
3.97025515e+00	2.84675069e-03	2.80436861e-05
4.01263540e+00	5.57138977e-03	5.32811601e-05
4.05546804e+00	5.68594919e-03	5.51085606e-05
4.09875789e+00	3.07032724e-03	3.05430878e-05
4.14250983e+00	1.05062517e-03	1.05170652e-05
4.18672880e+00	2.04943529e-03	2.04915884e-05
4.23141979e+00	4.45948889e-03	4.45097600e-05
