# Eingangsdaten nach q-Umrechnung (Faktor 10 → nm^-1)
# record_id: 4e638f03-a077-45cb-a135-e22e59d780c7
# erzeugt von: ScatterForge Plot 7.11.0 / analysis.gift 0.4.0
# Quelle: Sphere_140+Hardsphere.txt
# Dmax = 62.17 nm, N = 200, K = dirichlet, lambda_rel = 7.499e-13 (Wendepunkt)
# q-Bereich: 0.0505337 - 10 nm^-1 (full)
# Rg = 10.8444 +- 0.137 nm, I(0) = 5747.08 +- 22.2, MD = 0.002797
# GIFT: S(q) = hs_py_avg; phi = 0.200001 +- 0.00581, r_hs = 14 +- 0.0757, mu = 0.000477663 +- 1.1; MD ohne S(q) = 5.118
# Flags: dmax_qmin=warning, shannon=ok, q_range=ok, sigma_estimated=info, lambda=warning, fit_quality=info, pr_end=ok, pr_tail=info, pr_negative=ok, gift_bound=warning, gift_improvement=ok, gift_lambda=warning, gift_multistart=info, gift_apparent=info
# q / nm^-1	I	sigma (verwendet)
5.33686251e-01	1.00257003e+00	1.00257003e-02
5.39383053e-01	4.55753221e-01	4.55753221e-03
5.45140665e-01	1.27017393e-01	1.27017393e-03
5.50959736e-01	2.94043916e-03	2.94043916e-05
5.56840923e-01	6.71168527e-02	6.71168527e-04
5.62784888e-01	3.00476109e-01	3.00476109e-03
5.68792302e-01	6.81589100e-01	6.81589100e-03
5.74863841e-01	1.18697311e+00	1.18697311e-02
5.81000191e-01	1.79141033e+00	1.79141033e-02
5.87202042e-01	2.46829831e+00	2.46829831e-02
5.93470095e-01	3.19005203e+00	3.19005203e-02
5.99805056e-01	3.92857685e+00	3.92857685e-02
6.06207640e-01	4.65582768e+00	4.65582768e-02
6.12678567e-01	5.34446261e+00	5.34446261e-02
6.19218567e-01	5.96858872e+00	5.96858872e-02
6.25828379e-01	6.50458343e+00	6.50458343e-02
6.32508746e-01	6.93195837e+00	6.93195837e-02
6.39260423e-01	7.23421582e+00	7.23421582e-02
6.46084170e-01	7.39963304e+00	7.39963304e-02
6.52980757e-01	7.42190056e+00	7.42190056e-02
6.59950961e-01	7.30054046e+00	7.30054046e-02
6.66995568e-01	7.04104040e+00	7.04104040e-02
6.74115372e-01	6.65466132e+00	6.65466132e-02
6.81311176e-01	6.15790684e+00	6.15790684e-02
6.88583792e-01	5.57167793e+00	5.57167793e-02
6.95934038e-01	4.92017061e+00	4.92017061e-02
7.03362744e-01	4.22960128e+00	4.22960128e-02
7.10870748e-01	3.52685948e+00	3.52685948e-02
7.18458895e-01	2.83818885e+00	2.83818885e-02
7.26128041e-01	2.18798500e+00	2.18798500e-02
7.33879052e-01	1.59777681e+00	1.59777681e-02
7.41712800e-01	1.08543115e+00	1.08543115e-02
7.49630169e-01	6.64593857e-01	6.64593857e-03
7.57632051e-01	3.44358532e-01	3.44358532e-03
7.65719349e-01	1.29139059e-01	1.29139059e-03
7.73892974e-01	1.87157817e-02	1.87157817e-04
7.82153848e-01	8.42582082e-03	8.42582082e-05
7.90502903e-01	8.94750052e-02	8.94750052e-04
7.98941079e-01	2.49359180e-01	2.49359180e-03
8.07469327e-01	4.72393737e-01	4.72393737e-03
8.16088610e-01	7.40359085e-01	7.40359085e-03
8.24799899e-01	1.03327361e+00	1.03327361e-02
8.33604176e-01	1.33030185e+00	1.33030185e-02
8.42502434e-01	1.61079241e+00	1.61079241e-02
8.51495676e-01	1.85541760e+00	1.85541760e-02
8.60584916e-01	2.04735692e+00	2.04735692e-02
8.69771178e-01	2.17343512e+00	2.17343512e-02
8.79055498e-01	2.22510012e+00	2.22510012e-02
8.88438923e-01	2.19911647e+00	2.19911647e-02
8.97922511e-01	2.09786284e+00	2.09786284e-02
9.07507331e-01	1.92916074e+00	1.92916074e-02
9.17194464e-01	1.70562056e+00	1.70562056e-02
9.26985001e-01	1.44355902e+00	1.44355902e-02
9.36880047e-01	1.16160296e+00	1.16160296e-02
9.46880717e-01	8.79133953e-01	8.79133953e-03
9.56988139e-01	6.14738038e-01	6.14738038e-03
9.67203451e-01	3.84806642e-01	3.84806642e-03
9.77527807e-01	2.02395632e-01	2.02395632e-03
9.87962369e-01	7.64038506e-02	7.64038506e-04
9.98508314e-01	1.10913859e-02	1.10913859e-04
1.00916683e+00	5.93008496e-03	5.93008496e-05
1.01993912e+00	5.57665034e-02	5.57665034e-04
